model,temperature,variant,accuracy
Qwen/Qwen2.5-1.5B-Instruct,0.0,minimal,0.585
Qwen/Qwen2.5-1.5B-Instruct,0.0,role_expert,0.585
Qwen/Qwen2.5-1.5B-Instruct,0.0,direct,0.57
Qwen/Qwen2.5-1.5B-Instruct,0.0,step_by_step,0.565
Qwen/Qwen2.5-1.5B-Instruct,0.0,constraints,0.555
Qwen/Qwen2.5-1.5B-Instruct,0.3,step_by_step,0.585
Qwen/Qwen2.5-1.5B-Instruct,0.3,constraints,0.57
Qwen/Qwen2.5-1.5B-Instruct,0.3,direct,0.555
Qwen/Qwen2.5-1.5B-Instruct,0.3,minimal,0.555
Qwen/Qwen2.5-1.5B-Instruct,0.3,role_expert,0.54
Qwen/Qwen2.5-1.5B-Instruct,0.7,step_by_step,0.555
Qwen/Qwen2.5-1.5B-Instruct,0.7,constraints,0.545
Qwen/Qwen2.5-1.5B-Instruct,0.7,minimal,0.54
Qwen/Qwen2.5-1.5B-Instruct,0.7,role_expert,0.51
Qwen/Qwen2.5-1.5B-Instruct,0.7,direct,0.37
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.0,constraints,0.465
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.0,direct,0.465
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.0,role_expert,0.465
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.0,step_by_step,0.465
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.0,minimal,0.4
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.3,step_by_step,0.475
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.3,role_expert,0.46
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.3,constraints,0.44
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.3,direct,0.44
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.3,minimal,0.37
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.7,constraints,0.46
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.7,role_expert,0.395
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.7,step_by_step,0.395
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.7,direct,0.37
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.7,minimal,0.355
